x_RIS_m,y_RIS_m,z_RIS_m,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps
0.7666666666666666,0.0,1.8033333333333332,4.273435319252336e-08,4.273435319252336e-08,4.273435319252336e-08,0.05129865864278378,-12.898939906709007,1443451.5236734645,1.4434515236734646
0.7666666666666666,0.0,1.88,4.204346352990716e-08,4.204346352990716e-08,4.204346352990716e-08,0.04965336787084089,-13.040512889990762,1398259.5670218328,1.3982595670218327
0.7666666666666666,0.0,1.9566666666666666,4.076202998314269e-08,4.076202998314269e-08,4.076202998314269e-08,0.046672745351656664,-13.309366525965533,1316208.7410975585,1.3162087410975585
0.7666666666666666,0.0,2.033333333333333,3.895422459977123e-08,3.895422459977123e-08,3.895422459977123e-08,0.04262465404201907,-13.703391328851191,1204397.592195972,1.2043975921959722
0.7666666666666666,0.0,2.11,3.6690787600673285e-08,3.6690787600673285e-08,3.6690787600673285e-08,0.03781514830374437,-14.223341920450371,1070989.9842337028,1.0709899842337027
0.7666666666666666,0.0,2.1866666666666665,3.404616627919735e-08,3.404616627919735e-08,3.404616627919735e-08,0.03256028300214911,-14.873118290365957,924520.2323996406,0.9245202323996407
0.7666666666666666,0.0,2.263333333333333,3.109597293372458e-08,3.109597293372458e-08,3.109597293372458e-08,0.02716189327340063,-15.660399615810201,773271.7191116186,0.7732717191116186
0.7666666666666666,0.0,2.34,2.7914808486939052e-08,2.7914808486939052e-08,2.7914808486939052e-08,0.02188875420810719,-16.597789554691143,624762.9766285798,0.6247629766285798
0.7666666666666666,0.0,2.4166666666666665,2.4574465998351983e-08,2.4574465998351983e-08,2.4574465998351983e-08,0.016963674009035794,-17.704800819702406,485362.93960138824,0.4853629396013882
0.7666666666666666,0.0,2.493333333333333,2.114250464378079e-08,2.114250464378079e-08,2.114250464378079e-08,0.01255638456837929,-19.01135391493229,360044.94458244566,0.3600449445824457
0.7666666666666666,0.0,2.57,1.7681169203503307e-08,1.7681169203503307e-08,1.7681169203503307e-08,0.008781600980277849,-20.564263003220976,252277.35830783457,0.25227735830783454
0.7666666666666666,0.0,2.6466666666666665,1.4246621289148994e-08,1.4246621289148994e-08,1.4246621289148994e-08,0.005701321068014212,-22.440245011567853,164038.17854231157,0.16403817854231156
0.7666666666666666,0.0,2.723333333333333,1.0888444813634864e-08,1.0888444813634864e-08,1.0888444813634864e-08,0.003330300693609377,-24.775165521754708,95932.51236806477,0.09593251236806477
0.7666666666666666,0.0,2.8,7.649387974371131e-09,7.649387974371131e-09,7.649387974371131e-09,0.0016436340009831237,-27.841948832980854,47386.320220764705,0.04738632022076471
0.9,0.0,0.5,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,0.5766666666666667,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,0.6533333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,0.73,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,0.8066666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,0.8833333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,0.96,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,1.0366666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,1.1133333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,1.19,0.0,0.0,0.0,0.0,-inf,0.0,0.0
